# Default glossary of the lotsawa skill (Czech). To change terminology for your project,
# copy this file to the project root and edit the copy; a same-name file there overrides this one.
# ONE glossary for all texts, not split by cycle. Authority: published Czech translations
# (arbitration by comparing variant counts across them). A cycle's folder is a batch of work,
# not a scope for terminology — there is no per-cycle glossary; a term's line records its
# provenance, but validity is always global.
# Columns: tib \t wylie \t target \t stem \t status \t note
#   tib    = Tibetan
#   wylie  = Wylie transliteration
#   target = target-language rendering
#   stem   = shortest invariant prefix used for drift checks; if empty the full target
#            string is used — non-inflecting languages may leave it empty
#   status = fixed = binding, enforced by `lotsawa.py glossary --check`
#            prov  = provisional, sent to translators but not enforced
#            open  = undecided, not sent to translators
#   note   = attestation count or explicit justification; required for fixed
#
# stem: the SHORTEST invariant prefix (Czech palatalizes: pohřebiště/pohřebišť).
#        Terms whose target-language solution is a verb, or legitimately alternates
#        with a paraphrase, belong in prov — they cannot be enforced.
#        The stem must be DISCRIMINATING: it must not also match a rejected variant.
#        For multi-word terms, pick the word that distinguishes the variants — "tvůrc",
#        not "překáž" (that also matches the wrong "překážeči"; this bug survived
#        checks for years because of it).
# TIBETAN KEY must be just as discriminating as the stem: a short syllable also
#        matches its compounds with a different meaning, and `check` then produces
#        noise in every text. Attested twice:
#        ཐུགས (matches thugs rje = compassion, thugs ka = heart) → narrowed to བླ་མའི་ཐུགས;
#        ཐུན (matches thun mong = ordinary, thun mthar = end of session) → to ཐུན་གྱིས.
#        When a syllable has several meanings, key the whole phrase, not the syllable.
# fixed = ATTESTED IN PUBLISHED CZECH TRANSLATIONS; the occurrence count goes in note.
#        Without support in published Czech translations → prov, or fixed with an explicit
#        justification for why the term cannot appear there. Support is verified by
#        grepping, not by impression.
#
# --- jména a klíčové postavy (provenience Pudri Rekpung / Vadžrakilája)
དངོས་གྲུབ	dngos grub	siddhi	siddhi	fixed	nepřekládat
རིག་མ	rig ma	družka poznání	druž	fixed	
སྔགས་ཕྲེང	sngags phreng	řetězec mantry	řetěz	fixed	dle vzorů (ne „girlanda mantry"); stem zkrácen na „řetěz" 2026-07-28 — „řetězec" není invariantní prefix (řetězce/řetězců mají vkladné -e-) a `check` hlásil drift na správných tvarech
ངན་སྔགས	ngan sngags	zhoubná mantra	zhoubn	prov	ve vzorech málo dokladů (arbitráž 0/1); drag sngags = hněvivá mantra
དམ་ཡེ	dam ye	bytost samají a moudrosti	samaj	fixed	dam tshig pa / ye shes pa; „samají" 39× ve vzorech vs „samaji" 1× — opraveno 2026-07-28 | učitel: samaya and jñāna aspects | Verbindungs- und Weisheitsaspekte
འདོད་ཡོན	'dod yon	smyslová potěšení	potěš	fixed	učitel: sense pleasures | Sinnesfreuden
ཐལ་འབྱིན	thal 'byin	probodávající proniknutí	proniknut	prov	thal 'byin rnam bzhi = čtvero proniknutí; technický termín, k ověření; identita čtyř k ověření u učitele (pandita: low)
#
# --- fáze praxe a aktivity
བསྙེན་པ	bsnyen pa	fáze přístupu	přístup	fixed	dle vzorů; ponechaná transkripce „ňenpa" v technickém kontextu
སྒྲུབ་པ	sgrub pa	uskutečnění	uskuteč	prov	vzory volí „uskutečnit" i „realizace" podle kontextu | učitel: to accomplish | verwirklichen; verwirklichen, vollbringen
ལས་སྦྱོར	las sbyor	praxe aktivity	aktivit	fixed	dle vzorů (ne „uplatnění aktivity") | učitel: activity application | Aktivitätsanwendung
ཞི་བ	zhi ba	mírná	mírn	prov	čtyři aktivity: mírná / rozšiřující / mocenská / hněvivá
རྒྱས་པ	rgyas pa	rozšiřující	rozšiř	prov	čtyři aktivity; vzory formulují volněji
དྲག་པོ	drag po	hněvivá	hněviv	prov	
ཚར་གཅོད	tshar gcod	vyhlazení	vyhla	prov	
སྨད་ལས	smad las	nižší aktivity	nižší	fixed	učitel: lower activity | Niedere Aktivität — LOTR: Niedrig heißt hier eigentlich "nachfolgend" im Sinne von der Höheren Aktivität (Erleuchtung für einen selbst) nachfolgend
#
# --- bytosti a ochránci
བརྟན་མ	brtan ma	tenma	tenma	prov	bohyně tenma
དམ་སྲི	dam sri	damsi	damsi	prov	nepřekládat
བདུད	bdud	démoni	démon	prov	kolize s bdud rtsi (amrita) — kontroluj ručně
ཕྲ་མེན	phra men	tramen	tramen	prov	strážkyně bran se zvířecími hlavami
#
# --- jména osob
འཇིགས་བྲལ་ཡེ་ཤེས་རྡོ་རྗེ	'jigs bral ye shes rdo rje	Džigdräl Ješe Dordže	Džigdräl	fixed	Düdžom Rinpočhe; „Džigdräl" 15× ve vzorech vs „Džigdral" 1×, „Džigdrel" 3× — opraveno 2026-07-28, dřívější tvar glosáře byl menšinový
ཡེ་ཤེས་མཚོ་རྒྱལ	ye shes mtsho rgyal	Ješe Tsogjäl	Tsogj	fixed	dle vzorů (0/4 shoda s „Ješe Cchogjal")
ཁྲོ་རྒྱལ་རྡོ་རྗེ	khro rgyal rdo rje	Throgjal Dordže	Throgjal	prov	žák tertöna, autor tří textů cyklu; mimo referenční korpus (0 dokladů)
པདྨ་ཐོད་ཕྲེང	pad+ma thod phreng	Pema Thöthrengtsäl	Thöthreng	prov	vzory kolísají: Thöthrengtsäl / Tötrengtsäl
#
# --- rituální náčiní a substance
དགང་གཟར	dgang gzar	plnicí naběračka	naběrač	prov	mimo referenční korpus (0 dokladů) — nelze vynucovat
བླུགས་གཟར	blugs gzar	obětní lžíce	lžíc	prov	mimo referenční korpus (0 dokladů) — nelze vynucovat
ཟོར	zor	zor	zor	fixed	nepřekládat; 74× | učitel: magic weapon | Magiewaffe
ཐོད་པ	thod pa	kapála	kapál	fixed	27× ve vzorech; „miska z lebky" 4× tam, kde je thod výslovně; „lebeční miska" 0× — zamítnuto. POZOR, KLÍČ JE ŠIROKÝ: `thod pa` = rituální miska, ale ve složeninách znamená `thod` prostě lebku jako materiál nebo část těla — `ཐོད་པའི་སྒ` je „sedlo z lebky" (Planoucí paprsky seg 8), `ཐོད་རྔ` má vlastní položku „damaru z lebek". Tam „kapála" nepatří a `check` hlásí falešný poplach; materiál se vyjadřuje předložkou („z lebky"), ne přívlastkem
ཀ་པ་ལ	ka pa la	kapála	kapál	fixed	totéž co thod pa
ཐོད་བུམ	thod bum	kapála s vázou	kapál	prov	složenina thod pa + bum pa; 0 přímých dokladů, řídí se pravidlem o materiálu („lebeční miska" zamítnuta)
ཐོད་རྔ	thod rnga	damaru z lebek	z lebek	fixed	holé „damaru" 12×, „z lebek" 3×; „lebeční damaru" 0× — zamítnuto (stem je „z lebek", protože „damaru" sedí i na zamítnutý tvar)
ཐོག་མ་མེད་པ་ནས	thog ma med pa nas	od času bez počátku	bez počátku	fixed	„od bezpočátku" 0× — není české slovo (stem s mezerou, jinak by sedělo i na „bezpočátku")
ཐོག་མེད	thog med	od času bez počátku	bez počátku	fixed	zkrácený tvar téhož
ཆད་མདོ	chad mdo	čhadmo	čhadmo	prov	ve vzorech málo dokladů
#
# --- ponechané transkripce z rol tshig (pokyny rituální hudby; mimo ref. korpus)
ཟིལ་འབེབས	zil 'bebs	zilbeb	zilbeb	prov	úder činelů
ཐིང	thing	thing	thing	prov	
ཌཱརྐ	DAr ka	darka	darka	prov	
ཡོ་སྤྱི	yo spyi	jo-či	jo-či	prov	nápěv
#
# --- open (not sent to prompts; decide first, then ask the user)
ཐོར་ཐུན	thor thun		 	open	concord: v Troma Nagmo a Khandro Thuktik se pojí s ranní seancí („nam snga dro'i thun") — dřívější „závěrečná seance" je obrácené; navrhuji „přídavná seance"
རྩང་དམར	rtsang dmar		 	open	hrozivá ozdoba tormy; „rudé kůly" je dohad, 9 výskytů napříč třemi cykly
ཨེ་ཁྲམ	e khram		 	open	konstrukce v mandale (E + zkřížený khram)
བཞི་སྙིང་གཅིག་དྲིལ	bzhi snying gcig dril	čtyři esenciální mantry spojené v jednu	esenciální	prov	16 výskytů v 5 textech cyklu
དཔལ་གཏོར	dpal gtor		 	open	concord: v Khandro Thuktik popsána tvarem (gri gug, lotosové plátky) — jde o typ tormy, ne o „vznešenou tormu"
བླ་མ	bla ma	mistr	mistr	fixed	tib-anchored arbitráž 13/20 bloků: mistr 13, guru 3, lama 3, učitel 1; „guru" jen v ustálených názvech (guru jóga, Guru Rinpočhe), „lama" ve výčtech (lamům, jidamům, dákiním) | učitel: Lama (specific), lama (general) | Lama
ཚོགས་ཞིང	tshogs zhing	pole zásluh	pole zásluh	prov	2× ve vzorech; s vysvětlující vsuvkou „(hostů)" — samotné „hosté" (26×) překládá mgron, ne tshogs zhing
འབྱུང་པོ	'byung po	džungpo	džungpo	fixed	„elementální duchové džungpo" 4× ve vzorech; „zlé síly" (anglické evil forces) zamítnuto. POZOR NA DVA SMYSLY: jako třída zlovolných bytostí = džungpo, ale `འབྱུང་པོ་ཆེ` v pozvání ohňové oběti je **epiteton Agniho** („velký pane živlů") — kontext to určí (hnědý kozel, „velký mudrc" drang srong, mantra ཨོཾ་ཨགྣ་ཡེ). V Planoucích paprscích ohně času seg 11 vyrobil tento klíč „velký džungpo" v oslovení boha ohně, tedy chybu ve významu; epiteton má poznámku v textu. Nezúžil jsem klíč, protože formát neumí negativní podmínku — tady rozhoduje redaktor
འགགས་མེད	'gags med	bez překážek	bez překážek	fixed	5× ve vzorech; „nezadržitelný" 0× — zamítnuto
དབང་བཞི	dbang bzhi	čtyři zplnomocnění	zplnomocněn	fixed	zplnomocnění 30× vs. „zmocnění" 4× — zamítnuto
ཚོགས་ཀྱི་འཁོར་ལོ	tshogs kyi 'khor lo	ganačakra	ganačakr	fixed	9× ve vzorech; „kolo tsoku" 0× — zamítnuto; tshogs mchod = obětina tsoku (8×)
ལྷག་གཏོར	lhag gtor	zbytková torma	zbytkov	fixed	8× ve vzorech
ཐོག་མེད་ནས	thog med nas	od času bez počátku	od času bez počátku	fixed	varianta zápisu thog ma med pa nas
ཀློང	klong	prostor	prostor	fixed	„prostornost" 0× ve vzorech, „prostor(u)" 137+36×; dbyings = základní prostor, klong holý prostor | učitel: expanse | Weite
ཀུན་འདུས	kun 'dus	ztělesnění	ztěles	fixed	ztělesnění 13× („jediné ztělesnění všech Vítězných"), „vtělení" 0× — zamítnuto
བླ་མའི་ཐུགས	bla ma'i thugs	osvícená mysl mistra	osvícen	fixed	„osvícené mysli" 14×, „moudrá mysl" 0× — zamítnuto; klíč je záměrně zúžený, samotné ཐུགས matchuje i thugs rje (soucit) a thugs ka (srdce)
སྣང་སྲིད	snang srid	jevová existence	jevov	fixed	„jevové existence" 28× + „jevová existence" 3×; „vše jevové i jsoucí" 0× — zamítnuto | učitel: appearance and becoming | Erscheinungswelt und Wesen
ཤིས་པ་བརྗོད	shis pa brjod	verše příznivosti	příznivost	fixed	„verše příznivosti" 4×, „slova přízně" 0× — zamítnuto
དམ་རྫས	dam rdzas	substance samají	samají	fixed	„substance samají" 8×, „substance samaji" 0× — genitiv plurálu
འགྲུབ་པར་ཤོག	'grub par shog	dosáhneme realizace	realizac	fixed	tentýž verš (dkyil 'khor gcig tu 'grub par shog) je ve vzorech 2× jako „dosáhneme realizace"; „uskutečnění" pro grub zamítnuto
རྒྱུད	rgyud	proud bytí	proud bytí	prov	0× ve vzorech („proud mysli" 1×, „kontinuum" pro jiné termy); Lotsawa House „your very being" — rgyud zde není jen mysl | učitel: stream of being | Seinsstrom | kontext: „proud bytí“ jen o rgyud jednotlivce; ve složeninách linie (rtsa brgyud, bka' gter rgyud, sgrub brgyud) = linie
ཐུན་གྱིས	thun gyis	rituální substance	substanc	fixed	NE „thun" — v češtině ani angličtině to není zavedené slovo (rozhodnutí uživatele 2026-07-28); thun gyis brab = „vrženými rituálními substancemi", Lotsawa House „wrathful substances". Klíč je zúžený na instrumentál: samotné ཐུན matchuje i ཐུན་མོང (běžný) a ཐུན་མཐར (konec sezení) — homonymie substance / praxový úsek. Starší „thun-torma" v Pudri Rekpung se nepředělává (neaktuální překlad).
ལྷུན་གྲུབ	lhun grub	spontánní dovršení	spontán	prov	„spontánně přítomný" 5×, „spontánně dovršen" 1×, „spontánní dokonalost" 1× — vzory kolísají, proto prov. U epitet v oslovení (sku gsum lhun grub …) volit jmennou apozici „spontánní dovršení tří kájí", ne visící přívlastek „spontánně dovršené tři káje" (nominativ bez vazby na vokativ). | učitel: spontaneous presence | spontane Gegenwart/Präsenz
ཡོན་ཏན	yon tan	kvality	kvalit	fixed	„kvalit*" 42× ve vzorech („dokonalé kvality", „pozitivní kvality"), „vlastnost" 1× — zamítnuto; rozhodnutí uživatele 2026-07-28 | učitel: quality, qualities | Qualität, Qualitäten
ཡན་ལག་བརྒྱད་ལྡན	yan lag brgyad ldan	o osmi kvalitách	kvalit	fixed	o vodě; vzory mají obrat doslova: „jezero nektaru obsahující osm kvalit vody", „čistota této vody má osm kvalit"
སྒོ་གསུམ	sgo gsum	tři brány	bran	fixed	„tří bran" 4× + „tři brány" 3× + „třemi branami" 1×; „vrata" 0× — zamítnuto (rozhodnutí uživatele 2026-07-28); vzory často glosují „(těla, řeči a mysli)"
རྡོ་རྗེར་གྱུར	rdo rjer gyur	přemění se ve vadžru	vadžr	prov	„vadžrový" jako přísudek 0× ve vzorech (jediné „vadžrových paprsků"); vzory mají „vadžra tělo, vadžra řeč a vadžra mysl" 2× a „stav vadžry" 3×
ཧེ་རུ་ཀ	he ru ka	héruka	hér	prov	„héruko" 11× vs „heruko" 2× ve vzorech; v nominativu remíza („héruka" 7× / „heruka" 8×), proto prov — rozhoduje vokativ, nejčastější tvar ve verších
འོད་ཟེར་གླང་པོ	'od zer glang po	Prabháhasti	Prabháhast	prov	mistr kílajové linie (Pudri Rekpung seg 6); „Prabhahasti" 0× i „Langpo" 0× ve vzorech — bez dokladu na žádné straně vyhrává tibetská transkripce, sanskrt patří do poznámky; pandita 2026-09-03: kalk skt. Prabhāhasti (high), do textu sanskrt, Özer Langpo jen jako tibetská forma
མཁར་ཆེན་བཟའ	mkhar chen bza'	Kharčhenzo	Kharčhenz	prov	1× ve vzorech, vždy s poznámkou „Princezna z Kharčhenu – Ješe Tsogjäl"; „paní z Kharčhenu" 0× — zamítnuto (gloss patří do poznámky, ne do verše)
མཐར་ཕྱིན	mthar phyin	završen	završ	prov	„završ*" 25× vs „k dokonalosti" 2×; mthar phyin = dovést k završení; sloveso, proto prov
ཆགས་ཐོགས	chags thogs	lpění i překážky	lpě	prov	dvojice: chags = lpění (5×), thogs = překážky; překlad jen druhého členu („nic nebrání") vypouští nepřipoutanost
ཟུང་འཇུག	zung 'jug	sjednocení	sjednoc	prov	yuganaddha; „sjednocení" 18× vs „jednoty" 9×, „jednota" 5×; head-final složenina — v zung 'jug sgyu 'phrul ye shes je hlava ye shes, ne zung 'jug | učitel: union | Einheit
སྤྲུལ་པའི་སྐུ	sprul pa'i sku	nirmanakája	nirmanakáj	fixed	18× vs „nirmánakáj*" 0× — bez délky; ženského rodu („nejvyšší nirmanakájo Padmasambhavo", „dákiní nirmanakáji", „soucitná ženská nirmanakája")
བདུད་འཇོམས	bdud 'joms	Düdžom	Düdžom	fixed	„Düdžom" 75× ve vzorech vs „Dudjom" 1× (anglická transkripce), „Dudžom" 0×; platí i v kreditu „Düdžom Rinpočhe". Bibliografická citace v kolofonu zůstává v anglickém tvaru „Dudjom Rinpoche" verbatim
གཟུངས་མ	gzungs ma	partnerka	partnerk	fixed	„partnerk*" 24× ve vzorech („tajná partnerka", „svrchovaná partnerka", vok. „partnerko"), „družk*" 0× — thugs kyi gzungs ma = srdeční partnerka
ཕུར་པ	phur pa	Kilája	Kiláj	prov	„Kiláj*" 20× + „Vadžrakiláj*" 8× ve vzorech; „Kílaj*" 0× a „Vadžrakílaj*" 0× — dlouhá je DRUHÁ slabika (ki-LÁ-ja). Zadání prvního běhu i moje prompty měly „Kílaja" špatně; nahlásil to Fable proti instrukci a doložil počtem. Status prov, ne fixed: klíč ཕུར་པ matchuje i název cyklu ཕུར་པ་སྤུ་གྲི་རེག་ཕུང, kde čeština „Kilája" legitimně vynechává („Břitva, jež ničí dotekem"), a `check` pak šuměl na správných titulech
དམ་ཅན	dam can	ochránci vázaní přísahou	ochránc	fixed	„ochránc*" 63× ve vzorech vs „strážc*" 7× — sjednoceno 2026-07-28; „strážkyně" (4×) zůstává vyhrazeno pro sgo skyong (strážkyně bran) | učitel: oath bound | eidgebunden
བདུད་རྩི	bdud rtsi	amrita	amrit	prov	ve vzorech „amrit*" 7×, „dütsi" 17×, „nektar" 40×. ROZHODNUTÍ UŽIVATELE 2026-07-29: používá se buď dütsi, nebo amrita — obojí je v pořádku, „nektar" se nevynucuje. Status prov právě proto, že se dvě řešení legitimně střídají; recenzent textu 5 chtěl plošně „nektar" s tvrzením „amrita 0×", což byla substringová past (cz dá 7×) | učitel: nectar | Nektar
སྨན་རཀ	sman rak	dütsi a rakta	dütsi	fixed	dvojice rituálních substancí: sman = dütsi (rozhodnutí uživatele 2026-07-29), rak = rakta. „amrita" pro sman ZAMÍTNUTA — amrita je bdud rtsi, ne sman; v ohňové oběti Pudri Rekpung seg 17 draft psal „amritu, raktu" a zaměnil tím dva různé termíny

# --- imported 2026-09-03 from the teacher's Tibetan–English–German term list (607 entries, 594 unique, 25 already present → their note was extended).
# --- Czech targets are proposals: prov until attested in finished texts, open = undecided (not sent to prompts). note = "učitel: EN | DE — comment".
ཨ་ཐུང	a thung	krátké A	krátk	prov	učitel: short A | kurzes A — Keimsilbe der Caṇḍālī
ཨ་ཝ་དྷུ་ཏི	a wa dhU tI	avadhútí	avadhútí	prov	učitel: avadhūtī | Avadhūtī — Zentralkanal (Sanskrit-Lehnwort)
བདག་འཇུག	bdag 'jug	vlastní zplnomocnění	zplnomocněn	prov	učitel: self-empowerment | Selbst-Eintrittsweihe — Eigenermächtigung des Lehrers; alt: sebezplnomocnění (zamítnuto jako neobratné)
བཀྲ་ཤིས་བུམ་པ	bkra shis bum pa	váza příznivosti	váz	prov	učitel: auspicious vase | glücksverheißende Vase — erste Empfangsvase
བློ་གཏད	blo gtad	zaměření mysli	zaměř	prov	učitel: mental focus, mental orientation | geistige Ausrichtung; alt: nasměrování mysli
བརྗོད་བྲལ	brjod bral	mimo veškerá slova	slov	prov	učitel: beyond expression, ineffable | jenseits aller Worte; alt: nevyslovitelný
བུམ་ལྷ	bum lha	božstvo vázy	božstv	prov	učitel: vase deity | Vasen-Gottheit
འབྱུང་གཏོར	'byung gtor	torma vypuzení	torm	prov	učitel: expulsion torma | Austreibungs-Torma; alt: vypuzovací torma
འཆི་མེད	'chi med	nesmrtelný	nesmrt	prov	učitel: deathless | todlos
འཆི་མེད་འཕགས་མའི་སྙིང་ཐིག	'chi med 'phags ma'i snying thig	Srdečná esence nesmrtelné Vznešené Paní	esenc	prov	učitel: Heart Essence of the Deathless Noble Lady | Herzessenz der Edlen Herrin der Todlosigkeit — Terma-Zyklus von Pema Ösal Do Ngag Lingpa
དམ་སྲུང	dam srung	ochrana samaji	ochran	prov	učitel: samaya-protection | Samaya-Schutz — Schutz vor Samaya-Bruch
དམ་ཚིག་སྲོག	dam tshig srog	životní síla samaji	síl	prov	učitel: life-force of samaya | Lebensader des Samaya
དགའ་བཞིའི་ཡེ་ཤེས	dga' bzhi'i ye shes	moudrost čtyř radostí	moudrost	prov	učitel: wisdom of the four joys | Weisheit der Vier Freuden — tantrische Erkenntnis-Stufen
དོན་ངོ་སྤྲད	don ngo sprad	ukázat pravý smysl	ukáz	prov	učitel: pointing out the actual meaning | den wahren Sinn offensichtlich machen — absolute Einweisung
དྲིལ་སྒྲུབ	dril sgrub	sjednocená praxe	sjednoc	prov	učitel: integrated practice | integrierte Praxis — Mantra-Form, die Annäherung und Verwirklichung vereint
ཛཔ་ཁང	dzapa khang	příbytek mantry	příbyt	prov	učitel: mantra mansion | Mantra-Haus; alt: dům mantry
གར་གྱི་དབང་ཕྱུག	gar gyi dbang phyug	pán tance	pán	prov	učitel: lord of dance | Herr des Tanzes
གཅེར་གྲོལ	gcer grol	osvobození v nahotě	osvobo	open	učitel: naked liberation | nackt Befreien; alt: nahé osvobození, osvobození obnažením
འགོག་བཟླས	'gog bzlas	recitace zastavení	recitac	prov	učitel: stopping recitation | Rezitation des Aufhörens — Rezitation mit angehaltenem Atem; alt: recitace se zadrženým dechem
གཟུངས་ཐག	gzungs thag	šňůra dháraní	šňůr	prov	učitel: dhāraṇī cord | Dhāraṇī-Schnur
འཇའ་ལུས་འཕོ་བ་ཆེན་པོ	'ja' lus 'pho ba chen po	velký přenos duhového těla	přenos	prov	učitel: great transition rainbow body | GroßerÜbertragung des Regenbogenkörpers — höchste Dzogchen-Vollendung
ཁ་རྒྱན	kha rgyan	vrchní ozdoba	ozdob	prov	učitel: top ornament (of vase) | Aufsatzschmuck — oberer Schmuck der Vase
ཁེ་ཉེན	khe nyen	prospěch a nebezpečí	prospěch	prov	učitel: benefit and danger | Vorteil und Gefahr; Wagnis — Charakterisierung des Vajra-Pfades; alt: riziko; alt (dup row): riziko
འཁོར་ལོ་ཚོགས་ཆེན	'khor lo tshogs chen	Velké kolo shromáždění [slabik]	kol	prov	učitel: great cakra gathering [the syllables] | Großes Rad der Versammlung [der Silben] — Bhūmi-Name nach Weisheits-Ermächtigung
ཁྲིད་ཡིག	khrid yig	text pokynů	text	prov	učitel: instruction text | Unterweisungstext — Gattungsbezeichnung
ཀུན་ཏུ་འོད	kun tu 'od	Všeobsáhlé světlo	světl	prov	učitel: universal light (bhūmi) | Alles Licht (Samantaprabhā) — 13. Bhūmi; alt: Samantaprabhá
ལས་བུམ	las bum	váza aktivity	váz	prov	učitel: activity vase | Aktivitäts-Vase
